Date,Day,Holiday Name,Type Public
01-01-2023,Sunday,New Year's Day,Public Holiday
26-01-2023,Thursday,Republic Day,Public Holiday
02-03-2023,Friday,Holi,Public Holiday
10-03-2023,Saturday,Maha Shivaratri,Public Holiday
29-03-2023,Wednesday,Holi (Second Day),Public Holiday
02-04-2023,Sunday,Ram Navami,Public Holiday
07-04-2023,Friday,Mahavir Jayanti,Public Holiday
14-04-2023,Friday,Good Friday,Public Holiday
01-05-2023,Monday,May Day,Public Holiday
10-05-2023,Wednesday,Buddha Purnima,Public Holiday
26-06-2023,Monday,Eid al-Fitr,Public Holiday
15-08-2023,Tuesday,Independence Day,Public Holiday
02-09-2023,Saturday,Eid al-Adha,Public Holiday
03-09-2023,Sunday,Eid al-Adha (Second Day),Public Holiday
29-09-2023,Friday,Mahatma Gandhi Jayanti,Public Holiday
19-10-2023,Thursday,Dussehra,Public Holiday
01-11-2023,Wednesday,Kannada Rajyotsava,Public Holiday
04-11-2023,Saturday,Diwali,Public Holiday
06-11-2023,Monday,Govardhan Puja,Public Holiday
07-11-2023,Tuesday,Bhai Dooj,Public Holiday
25-12-2023,Monday,Christmas Day,Public Holiday
